zip,owner_utility,cca,notes,source
95356,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95357,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95357,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95358,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95358,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95360,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95360,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95361,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95361,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95363,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95363,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95364,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95364,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95365,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95365,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95366,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95366,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95367,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95367,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95368,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95369,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95369,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95370,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95370,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95372,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95372,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95373,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95373,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95374,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95374,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95375,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95375,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95376,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95376,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95377,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95377,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95378,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95378,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95379,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95379,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95380,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95380,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95381,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95382,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95383,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95383,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95385,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95385,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95386,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95386,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95387,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95387,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95388,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95388,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95389,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95389,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95390,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95391,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95391,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95397,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95401,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95401,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95402,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95402,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95403,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95403,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95404,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95404,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95405,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95405,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95406,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95406,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95407,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95407,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95408,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95409,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95409,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95410,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95410,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95412,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95412,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95415,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95415,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95416,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95416,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95417,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95417,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95418,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95418,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95419,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95419,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95420,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95420,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95421,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95421,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95422,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95422,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95423,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95423,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95424,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95424,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95425,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95425,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95426,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95426,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95427,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95427,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95428,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95428,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95429,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95429,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95430,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95430,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95431,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95432,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95432,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95433,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95433,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95435,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95435,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95436,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95436,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95437,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95437,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95439,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95439,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95441,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95441,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95442,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95442,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95443,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95443,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95444,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95444,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95445,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95445,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95446,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95446,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95448,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95448,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95449,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95449,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95450,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95450,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95451,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95451,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95452,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95452,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95453,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95453,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95454,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95454,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95456,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95456,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95457,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95457,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95458,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95458,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95459,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95459,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95460,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95460,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95461,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95461,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95462,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95462,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95463,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95463,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95464,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95464,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95465,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95465,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95466,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95466,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95467,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95467,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95468,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95468,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95469,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95469,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95470,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95470,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95471,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95471,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95472,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95472,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95473,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95473,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95476,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95476,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95480,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95480,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95481,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95481,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95482,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95482,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95485,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95485,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95486,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95486,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95487,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95488,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95488,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95490,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95490,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95492,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95492,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95493,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95493,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95494,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95494,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95497,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95497,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95501,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95501,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95502,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95502,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95503,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95503,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95511,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95511,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95514,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95514,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95518,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95518,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95519,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95519,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95521,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95521,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95524,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95524,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95525,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95525,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95526,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95526,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95527,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95527,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95528,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95528,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95531,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95532,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95534,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95534,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95536,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95536,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95537,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95537,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95538,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95540,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95540,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95542,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95542,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95543,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95545,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95545,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95546,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95546,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95547,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95547,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95548,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95549,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95549,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95550,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95550,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95551,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95551,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95552,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95552,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95553,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95553,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95554,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95554,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95555,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95555,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95556,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95556,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95558,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95558,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95559,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95559,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95560,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95560,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95562,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95562,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95563,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95563,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95564,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95564,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95565,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95565,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95567,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95568,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95568,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95569,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95569,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95570,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95570,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95571,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95571,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95573,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95573,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95585,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95585,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95587,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95587,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95589,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95589,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95595,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95595,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95601,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95601,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95602,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95602,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95603,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95603,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95604,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95604,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95605,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95605,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95606,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95606,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95607,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95607,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95608,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95609,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95610,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95611,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95612,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95612,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95613,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95613,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95614,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95614,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95615,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95615,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95616,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95616,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95617,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
95617,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
95618,PGE,none,all or portions of listed ZIPs,PG&E Service Territory PDF (tariff)
