zip,owner_utility,cca,notes,source
90077,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90077,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90079,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90094,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90094,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90201,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90201,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90209,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90210,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90210,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90210,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90211,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90211,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90212,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90212,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90212,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90213,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90220,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90220,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90221,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90221,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90222,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90222,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90224,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90224,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90230,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90230,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90230,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90231,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90231,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90232,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90232,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90232,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90239,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90240,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90240,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90241,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90241,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90242,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90242,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90245,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90245,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90245,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90247,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90247,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90247,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
